"COUNTRY","YEAR","SCENARIO","ISCO08_3D","ISCO88_3D","THS_POP","FLAG_RELIAB","OBS_STATUS"
"BG",2022,"S_AA",211,"Not stated",3971,"u",
"BG",2022,"S_AA",323,"Not stated",,"x",
"BG",2022,"S_AA",224,"Not stated",,"x",
"BG",2022,"S_AA",131,"Not stated",,"x",
"BG",2022,"S_AA",941,"Not stated",11795,,
"BG",2022,"S_AA",833,"Not stated",106816,,
"BG",2022,"S_AA",341,"Not stated",,"x",
"BG",2022,"S_AA",921,"Not stated",44391,,
"BG",2022,"S_AA",812,"Not stated",6386,"u",
"BG",2022,"S_AA",322,"Not stated",,"x",
"BG",2022,"S_AA",21,"Not stated","9,31",,
"BG",2022,"S_AA",816,"Not stated",13779,,
"BG",2022,"S_AA",912,"Not stated",6295,"u",
"BG",2022,"S_AA",961,"Not stated",19293,,
"BG",2022,"S_AA",815,"Not stated","51,15",,
"BG",2022,"S_AA",513,"Not stated",43478,,
"BG",2022,"S_AA",511,"Not stated",3649,"u",
"BG",2022,"S_AA",11,"Not stated",3499,"u",
"BG",2022,"S_AA",315,"Not stated",8604,,
"BG",2022,"S_AA",613,"Not stated",,"x",
"BG",2022,"S_AA",251,"Not stated",41826,,
"BG",2022,"S_AA",342,"Not stated",6392,"u",
"BG",2022,"S_AA",421,"Not stated","29,09",,
"BG",2022,"S_AA",235,"Not stated",13111,,
"BG",2022,"S_AA",222,"Not stated",34305,,
"CZ",2022,"S_AA",832,"Not stated",49014,,
"CZ",2022,"S_AA",961,"Not stated",20194,,
"CZ",2022,"S_AA",521,"Not stated",3619,,
"CZ",2022,"S_AA",812,"Not stated","28,37",,
"CZ",2022,"S_AA",632,"Not stated",1181,"u",
"CZ",2022,"S_AA",222,"Not stated",51897,,
"CZ",2022,"S_AA",262,"Not stated",3241,,
"CZ",2022,"S_AA",513,"Not stated",45088,,
"CZ",2022,"S_AA",931,"Not stated",17085,,
"CZ",2022,"S_AA",331,"Not stated",74093,,
"CZ",2022,"S_AA",932,"Not stated",101144,,
"CZ",2022,"S_AA",413,"Not stated",7077,,
"CZ",2022,"S_AA",143,"Not stated",10453,,
"CZ",2022,"S_AA",541,"Not stated",93897,,
"CZ",2022,"S_AA",332,"Not stated",94215,,
"CZ",2022,"S_AA",214,"Not stated",93209,,
"CZ",2022,"S_AA",412,"Not stated",22479,,
"CZ",2022,"S_AA",325,"Not stated",23875,,
"CZ",2022,"S_AA",814,"Not stated",33735,,
"CZ",2022,"S_AA",251,"Not stated",76456,,
"CZ",2022,"S_AA",141,"Not stated",11707,,
"CZ",2022,"S_AA",815,"Not stated",22571,,
"CZ",2022,"S_AA",223,"Not stated",,"x",
"CZ",2022,"S_AA",751,"Not stated",32017,,
"CZ",2022,"S_AA","Not stated","Not stated",,"x",
"CZ",2022,"S_AA",226,"Not stated",31147,,
"CZ",2022,"S_AA",920,"Not stated",,"x",
"CZ",2022,"S_AA",21,"Not stated",3228,,
"CZ",2022,"S_AA",11,"Not stated","2,56","u",
"CZ",2022,"S_AA",131,"Not stated",3048,,
"CZ",2022,"S_AA",524,"Not stated",28949,,
"CZ",2022,"S_AA",722,"Not stated","138,12",,
"CZ",2022,"S_AA",511,"Not stated",9103,,
"CZ",2022,"S_AA",631,"Not stated",1089,"u",
"CZ",2022,"S_AA",912,"Not stated",2082,"u",
"CZ",2022,"S_AA",835,"Not stated",1517,"u",
"CZ",2022,"S_AA",310,"Not stated",,"x",
"CZ",2022,"S_AA",621,"Not stated",12197,,
"CZ",2022,"S_AA",515,"Not stated",62949,,
"CZ",2022,"S_AA",213,"Not stated","16,87",,
"CZ",2022,"S_AA",441,"Not stated",44144,,
"CZ",2022,"S_AA",711,"Not stated",150194,,
"CZ",2022,"S_AA",30,"Not stated",,"x",
"CZ",2022,"S_AA",612,"Not stated",17312,,
"CZ",2022,"S_AA",422,"Not stated",43804,,
"CZ",2022,"S_AA",111,"Not stated",12522,,
"CZ",2022,"S_AA",261,"Not stated",42902,,
"CZ",2022,"S_AA",411,"Not stated",108024,,
